lesson 14	우체국과 은행 (Post Office & Bank)
편지	letter	편지를 썼어요. (I wrote a letter.)
봉투	envelope	봉투에 편지를 넣었어요. (I put the letter in the envelope.)
우표	stamp	우표를 붙였어요. (I put on a stamp.)
소포	parcel	소포를 보냈어요. (I sent a parcel.)
우편물	mail item	우편물을 받았어요. (I received mail.)
우체통	mailbox	우체통에 편지를 넣었어요. (I put the letter in the mailbox.)
우체부	mail carrier	우체부가 우편물을 배달해요. (The mail carrier delivers the mail.)
주소	address	주소를 썼어요. (I wrote the address.)
우편번호	postal code	우편번호를 확인했어요. (I checked the postal code.)
붙이다	to stick (a stamp)	우표를 붙였어요. (I stuck a stamp.)
보내다	to send	소포를 보냈어요. (I sent a parcel.)
무게를 재다	to weigh	소포의 무게를 쟀어요. (I weighed the parcel.)
현금	cash	현금으로 계산했어요. (I paid in cash.)
계좌번호	account number	계좌번호를 적었어요. (I wrote the account number.)
ATM	ATM machine	ATM에서 돈을 찾았어요. (I withdrew money from the ATM.)
지폐	paper money	지폐를 세었어요. (I counted the paper money.)
동전	coin	동전을 모아요. (I collect coins.)
수표	check	수표로 돈을 받았어요. (I received money by check.)
돈을 찾다	to withdraw money	은행에서 돈을 찾았어요. (I withdrew money at the bank.)
통장	bankbook	통장을 만들었어요. (I made a bankbook.)
환전하다	to exchange money	은행에서 환전했어요. (I exchanged money at the bank.)
서명하다	to sign	서명했어요. (I signed.)
돈을 찾습니다.	I withdraw money.	돈을 찾습니다. (I withdraw money.)
소포를 보냅니까?	Are you sending a parcel?	소포를 보냅니까? (Are you sending a parcel?)
주소를 쓰십시오.	Please write the address.	주소를 쓰십시오. (Please write the address.)
소포를 저울 위에 놓으십시오.	Please place the parcel on the scale.	소포를 저울 위에 놓으십시오. (Please place the parcel on the scale.)
함께 한국어를 공부합시다.	Let’s study Korean together.	함께 한국어를 공부합시다. (Let’s study Korean together.)
같이 점심을 먹읍시다.	Let’s eat lunch together.	같이 점심을 먹읍시다. (Let’s eat lunch together.)
