lesson 8	날씨 (Weather)
봄	spring	봄에는 꽃이 피어요. (Flowers bloom in spring.)
여름	summer	여름에는 날씨가 더워요. (The weather is hot in summer.)
가을	autumn	가을에는 단풍이 들어요. (Leaves change color in autumn.)
겨울	winter	겨울에는 눈이 와요. (It snows in winter.)
날씨	weather	오늘 날씨가 좋아요. (The weather is nice today.)
바람이 불다	wind blows	바람이 불어요. (The wind blows.)
하늘	sky	하늘이 맑아요. (The sky is clear.)
맑다	clear	오늘은 하늘이 맑아요. (The sky is clear today.)
흐리다	cloudy	내일은 흐릴 거예요. (It will be cloudy tomorrow.)
기온	temperature	기온이 높아요. (The temperature is high.)
영상	above zero	오늘 기온은 영상 10도예요. (Today's temperature is 10 degrees above zero.)
영하	below zero	기온이 영하예요. (The temperature is below zero.)
안개	fog	아침에 안개가 꼈어요. (There was fog in the morning.)
비 / 비가 내리다	rain / it rains	비가 내려요. (It rains.)
눈 / 눈이 오다	snow / it snows	눈이 와요. (It snows.)
구름	cloud	구름이 많아요. (There are many clouds.)
도	degree	오늘은 20도예요. (Today is 20 degrees.)
일기예보	weather forecast	일기예보를 봐요. (I watch the weather forecast.)
벚꽃	cherry blossom	벚꽃이 피었어요. (Cherry blossoms have bloomed.)
꽃이 피다	flowers bloom	봄에 꽃이 피어요. (Flowers bloom in spring.)
시원하다	cool	바람이 시원해요. (The wind is cool.)
꽃구경하다	to see flowers	봄에 꽃구경해요. (I go to see flowers in spring.)
따뜻하다	warm	오늘은 따뜻해요. (It is warm today.)
땀이 나다	to sweat	운동하면 땀이 나요. (I sweat when I exercise.)
햇빛	sunlight	햇빛이 강해요. (The sunlight is strong.)
덥다	hot	여름에는 날씨가 덥다. (The weather is hot in summer.)
바닷가에 가다	to go to the beach	여름에 바닷가에 가요. (I go to the beach in summer.)
선크림	sunscreen	선크림을 발라요. (I put on sunscreen.)
눈부시다	dazzling	햇빛이 눈부셔요. (The sunlight is dazzling.)
단풍	autumn leaves	가을에는 단풍이 들어요. (Leaves change color in autumn.)
낙엽	fallen leaves	가을에 낙엽이 떨어져요. (Leaves fall in autumn.)
쌀쌀하다	chilly	아침에는 쌀쌀해요. (It is chilly in the morning.)
소풍 가다	to go on a picnic	주말에 소풍 가요. (I go on a picnic on the weekend.)
산책하다	to take a walk	공원에서 산책해요. (I take a walk in the park.)
단풍이 들다	leaves change color	가을에 단풍이 들어요. (Leaves change color in autumn.)
춥다	cold	겨울에는 날씨가 추워요. (The weather is cold in winter.)
하얗다	white	눈이 하얘요. (The snow is white.)
첫눈	first snow	첫눈이 왔어요. (The first snow has fallen.)
눈사람	snowman	눈사람을 만들어요. (I make a snowman.)
눈싸움	snow fight	친구와 눈싸움해요. (I have a snow fight with my friend.)
눈이 오다	it snows	오늘 눈이 와요. (It snows today.)
눈이 내리다	snow falls	밤에 눈이 내렸어요. (It snowed at night.)
바다가 예쁘고 사람들도 친절해요.	The sea is beautiful and the people are kind.	바다가 예쁘고 사람들도 친절해요. (The sea is beautiful and the people are kind.)
숙제를 하고 잤어요.	I did homework and then slept.	숙제를 하고 잤어요. (I did homework and then slept.)
여름은 덥고 겨울은 추워요.	Summer is hot and winter is cold.	여름은 덥고 겨울은 추워요. (Summer is hot and winter is cold.)
날씨가 좋아서 산책했어요.	Because the weather was nice, I took a walk.	날씨가 좋아서 산책했어요. (Because the weather was nice, I took a walk.)
이분이 선생님이지요?	This person is a teacher, right?	이분이 선생님이지요? (This person is a teacher, right?)
오늘은 정말 추워요.	It’s really cold today.	오늘은 정말 추워요. (It’s really cold today.)
