lesson 1	자기소개 (Self-Introduction)
감사합니다	Thank you	감사합니다! (Thank you!)
고맙습니다	Thank you (formal)	고맙습니다, 선생님. (Thank you, teacher.)
미안합니다	I'm sorry	미안합니다, 늦었어요. (I'm sorry, I'm late.)
죄송합니다	I'm sorry (formal)	죄송합니다, 실수했어요. (I'm sorry, I made a mistake.)
실례합니다	Excuse me	실례합니다, 길을 물어봐도 돼요? (Excuse me, may I ask for directions?)
안녕하세요	Hello	안녕하세요! (Hello!)
안녕	Hi/Bye (casual)	안녕, 친구야! (Hi, friend!)
안녕히 가세요	Goodbye (to someone leaving)	안녕히 가세요! (Goodbye!)
안녕히 계세요	Goodbye (to someone staying)	안녕히 계세요! (Goodbye!)
만나서 반갑습니다	Nice to meet you	만나서 반갑습니다. (Nice to meet you.)
잘 부탁드립니다	Please take care of me	잘 부탁드립니다. (Please take care of me.)
한국	Korea	저는 한국에 살아요. (I live in Korea.)
한국 사람	Korean person	저는 한국 사람이에요. (I am Korean.)
베트남	Vietnam	베트남에 가고 싶어요. (I want to go to Vietnam.)
베트남 사람	Vietnamese person	제 친구는 베트남 사람이에요. (My friend is Vietnamese.)
중국	China	중국은 아주 커요. (China is very big.)
중국 사람	Chinese person	중국 사람을 만났어요. (I met a Chinese person.)
일본	Japan	일본에 여행 가고 싶어요. (I want to travel to Japan.)
일본 사람	Japanese person	일본 사람과 이야기했어요. (I talked with a Japanese person.)
미국	USA	미국에 가족이 있어요. (I have family in the USA.)
미국 사람	American person	미국 사람을 알아요. (I know an American person.)
영국	UK	영국은 아름다워요. (The UK is beautiful.)
영국 사람	British person	영국 사람을 만났어요. (I met a British person.)
호주	Australia	호주에 가고 싶어요. (I want to go to Australia.)
호주 người	Australian person	호주 사람과 친구예요. (I am friends with an Australian person.)
독일	Germany	독일에 살고 싶어요. (I want to live in Germany.)
독일 사람	German person	독일 사람을 만났어요. (I met a German person.)
인도네시아	Indonesia	인도네시아에 여행 갔어요. (I traveled to Indonesia.)
인도네시아 사람	Indonesian person	인도네시아 사람을 알아요. (I know an Indonesian person.)
태국	Thailand	태국 음식이 맛있어요. (Thai food is delicious.)
태국 사람	Thai person	태국 사람과 이야기했어요. (I talked with a Thai person.)
한국어	Korean language	한국어를 공부해요. (I study Korean.)
베트남어	Vietnamese language	베트남어를 배워요. (I learn Vietnamese.)
영어	English	영어를 잘해요. (I speak English well.)
중국어	Chinese language	중국어를 공부해요. (I study Chinese.)
일본어	Japanese language	일본어를 배워요. (I learn Japanese.)
프랑스어	French	프랑스어를 배우고 싶어요. (I want to learn French.)
독일어	German	독일어를 공부해요. (I study German.)
태국어	Thai language	태국어를 배워요. (I learn Thai.)
학생	Student	저는 학생입니다. (I am a student.)
선생님	Teacher	선생님이 친절해요. (The teacher is kind.)
회사원	Office worker	저는 회사원이에요. (I am an office worker.)
은행원	Bank employee	은행원에게 물어보세요. (Ask the bank employee.)
의사	Doctor	의사가 병원에 있어요. (The doctor is at the hospital.)
간호사	Nurse	간호사가 친절해요. (The nurse is kind.)
관광 안내원	Tour guide	관광 안내원이 설명해요. (The tour guide explains.)
약사	Pharmacist	약사에게 약을 샀어요. (I bought medicine from the pharmacist.)
공무원	Government employee	공무원이 일해요. (The government employee works.)
경찰	Police officer	경찰이 도와줬어요. (The police officer helped.)
통역사	Interpreter	통역사가 번역해요. (The interpreter translates.)
번역가	Translator	번역가가 책을 번역해요. (The translator translates books.)
대학생	University student	저는 대학생이에요. (I am a university student.)
변호사	Lawyer	변호사가 일해요. (The lawyer works.)
연구원	Researcher	연구원이 연구해요. (The researcher researches.)
노동자	Laborer	노동자가 일해요. (The laborer works.)
