lesson 10	교통 (Transportation)
버스	bus	버스를 타요. (I take the bus.)
기차	train	기차를 탔어요. (I took the train.)
자동차	car	자동차를 운전해요. (I drive a car.)
지하철	subway	지하철을 타요. (I take the subway.)
비행기	airplane	비행기를 탔어요. (I took the airplane.)
자전거	bicycle	자전거를 타요. (I ride a bicycle.)
오토바이	motorbike	오토바이를 탔어요. (I rode a motorbike.)
택시	taxi	택시를 탔어요. (I took a taxi.)
고속버스	express bus	고속버스를 탔어요. (I took the express bus.)
버스 정류장	bus stop	버스 정류장에서 기다려요. (I wait at the bus stop.)
공항	airport	공항에 갔어요. (I went to the airport.)
지하철역	subway station	지하철역에서 내렸어요. (I got off at the subway station.)
터미널	terminal	터미널에서 버스를 탔어요. (I took the bus at the terminal.)
기차역	train station	기차역에서 만나요. (Let's meet at the train station.)
광장	square	광장에서 행사가 있어요. (There is an event at the square.)
시청	city hall	시청에 갔어요. (I went to city hall.)
시장	market	시장에서 과일을 샀어요. (I bought fruit at the market.)
고속도로	highway	고속도로를 달려요. (I drive on the highway.)
걷다 / 걸어가다	to walk	학교까지 걸어가요. (I walk to school.)
뛰다	to run	운동장에서 뛰어요. (I run at the sports field.)
갈아타다	to transfer (transportation)	지하철을 갈아탔어요. (I transferred to another subway.)
타다	to ride	자전거를 타요. (I ride a bicycle.)
~으로 가다 / ~으로 오다	to go/come by (transportation)	버스로 학교에 가요. (I go to school by bus.)
멀다	far	집이 멀어요. (My house is far.)
가깝다	near	학교가 가까워요. (The school is near.)
편리하다	convenient	지하철이 편리해요. (The subway is convenient.)
불편하다	inconvenient	버스가 불편해요. (The bus is inconvenient.)
행복하다	happy	여행이 행복해요. (Traveling is happy.)
불행하다	unhappy	길이 막혀서 불행해요. (I'm unhappy because of traffic.)
집에서 회사까지 자전거로 가요.	I go to work by bicycle.	집에서 회사까지 자전거로 가요. (I go to work by bicycle.)
서울에서 인천까지 기차로 가요.	I go from Seoul to Incheon by train.	서울에서 인천까지 기차로 가요. (I go from Seoul to Incheon by train.)
오늘은 숙제를 다 해야 해요.	I have to finish all my homework today.	오늘은 숙제를 다 해야 해요. (I have to finish all my homework today.)
친구를 도와야 해요.	I must help my friend.	친구를 도와야 해요. (I must help my friend.)
커피를 저어야 해요.	I have to stir the coffee.	커피를 저어야 해요. (I have to stir the coffee.)
