lesson 15	약국 (Pharmacy)
이마	forehead	이마에 땀이 났어요. (There was sweat on my forehead.)
눈썹	eyebrow	눈썹이 진해요. (My eyebrows are thick.)
눈	eye	눈이 아파요. (My eyes hurt.)
코	nose	코가 막혔어요. (My nose is blocked.)
입	mouth	입을 벌리세요. (Open your mouth.)
입술	lips	입술이 건조해요. (My lips are dry.)
가슴	chest	가슴이 답답해요. (I feel tightness in my chest.)
손 / 손가락	hand / finger	손가락이 아파요. (My finger hurts.)
배	stomach	배가 아파요. (My stomach hurts.)
머리	head	머리가 아파요. (I have a headache.)
귀	ear	귀가 아파요. (My ear hurts.)
턱	chin	턱이 아파요. (My chin hurts.)
어깨	shoulder	어깨가 아파요. (My shoulder hurts.)
목	neck	목이 아파요. (My neck hurts.)
팔	arm	팔이 아파요. (My arm hurts.)
다리 / 발	leg / foot	다리가 아파요. (My leg hurts.)
발가락	toe	발가락이 아파요. (My toe hurts.)
허리	waist	허리가 아파요. (My waist hurts.)
등	back	등이 아파요. (My back hurts.)
엉덩이	hip	엉덩이가 아파요. (My hip hurts.)
감기	cold	감기에 걸렸어요. (I caught a cold.)
기침	cough	기침이 나요. (I have a cough.)
열	fever	열이 있어요. (I have a fever.)
콧물	runny nose	콧물이 나요. (I have a runny nose.)
소화가 안 되다	indigestion	소화가 안 돼요. (I have indigestion.)
설사	diarrhea	설사가 났어요. (I have diarrhea.)
구토	vomiting	구토를 했어요. (I vomited.)
약	medicine	약을 먹어요. (I take medicine.)
감기약	cold medicine	감기약을 샀어요. (I bought cold medicine.)
해열제	fever reducer	해열제를 먹었어요. (I took a fever reducer.)
소화제	digestive medicine	소화제를 먹었어요. (I took digestive medicine.)
진통제	painkiller	진통제를 먹었어요. (I took a painkiller.)
약을 먹다	to take medicine	약을 먹었어요. (I took medicine.)
여기 앉아도 돼요?	May I sit here?	여기 앉아도 돼요? (May I sit here?)
박물관에서 사진을 찍어도 돼요?	May I take pictures in the museum?	박물관에서 사진을 찍어도 돼요? (May I take pictures in the museum?)
아이스크림을 먹으면 안 돼요.	You must not eat ice cream.	아이스크림을 먹으면 안 돼요. (You must not eat ice cream.)
교실에서 군것질하면 안 돼요.	You must not eat snacks in class.	교실에서 군것질하면 안 돼요. (You must not eat snacks in class.)
담배를 피우지 마세요.	Don’t smoke.	담배를 피우지 마세요. (Don’t smoke.)
창문을 열지 마십시오.	Please don’t open the window.	창문을 열지 마십시오. (Please don’t open the window.)
책을 읽은 후에 빌려줄게요.	I’ll lend the book after reading it.	책을 읽은 후에 빌려줄게요. (I’ll lend the book after reading it.)
손을 씻은 후에 밥을 먹어요.	I eat after washing my hands.	손을 씻은 후에 밥을 먹어요. (I eat after washing my hands.)
자기 전에 피부 관리를 해요.	I take care of my skin before sleeping.	자기 전에 피부 관리를 해요. (I take care of my skin before sleeping.)
밥 먹기 전에 손을 씻어요.	I wash my hands before eating.	밥 먹기 전에 손을 씻어요. (I wash my hands before eating.)
