lesson 3	물건 사기 (Buying Things)
콜라	cola	콜라를 마셔요. (I drink cola.)
커피	coffee	커피를 마셔요. (I drink coffee.)
맥주	beer	맥주를 마셔요. (I drink beer.)
물	water	물을 마셔요. (I drink water.)
주스	juice	주스를 마셔요. (I drink juice.)
소주	soju	소주를 마셔요. (I drink soju.)
막걸리	rice wine	막걸리를 마셔요. (I drink rice wine.)
우유	milk	우유를 마셔요. (I drink milk.)
빵	bread	빵을 먹어요. (I eat bread.)
계란	egg	계란을 먹어요. (I eat an egg.)
시계	clock/watch	시계를 봐요. (I look at the clock.)
라면	instant noodles	라면을 끓여요. (I cook instant noodles.)
바나나	banana	바나나를 먹어요. (I eat a banana.)
배	pear	배를 먹어요. (I eat a pear.)
구두	leather shoes	구두를 신어요. (I wear leather shoes.)
운동화	sneakers	운동화를 신어요. (I wear sneakers.)
바지	pants	바지를 입어요. (I wear pants.)
칫솔	toothbrush	칫솔로 이를 닦아요. (I brush my teeth with a toothbrush.)
휴지	toilet paper	휴지를 사용해요. (I use toilet paper.)
티슈	tissue	티슈로 닦아요. (I wipe with a tissue.)
비누	soap	비누로 손을 씻어요. (I wash my hands with soap.)
치약	toothpaste	치약을 짜요. (I squeeze toothpaste.)
과자	snacks	과자를 먹어요. (I eat snacks.)
꽃	flower	꽃을 사요. (I buy flowers.)
사과	apple	사과를 먹어요. (I eat an apple.)
양말	socks	양말을 신어요. (I wear socks.)
오이	cucumber	오이를 먹어요. (I eat a cucumber.)
오렌지	orange	오렌지를 먹어요. (I eat an orange.)
일	one	1월. (January) / 1일. (1st day) / 1층. (1st floor)
이	two	2월. (February) / 2층. (2nd floor)
삼	three	3월. (March) / 3층. (3rd floor)
사	four	4월. (April) / 4층. (4th floor)
오	five	5월. (May) / 5층. (5th floor)
육	six	6월. (June) / 6층. (6th floor)
칠	seven	7월. (July) / 7층. (7th floor)
팔	eight	8월. (August) / 8층. (8th floor)
구	nine	9월. (September) / 9층. (9th floor)
십	ten	10월. (October) / 10층. (10th floor)
하나	one (native)	사과 하나. (One apple.)
둘	two (native)	책 두 권. (Two books.)
셋	three (native)	세 명. (Three people.)
넷	four (native)	네 개. (Four things.)
다섯	five (native)	다섯 번. (Five times.)
여섯	six (native)	여섯 명. (Six people.)
일곱	seven (native)	일곱 시. (Seven o'clock.)
여덟	eight (native)	여덟 개. (Eight things.)
아홉	nine (native)	아홉 번. (Nine times.)
열	ten (native)	열 명. (Ten people.)
개	item, thing	사과 한 개. (One apple.)
잔	cup, glass	커피 한 잔. (A cup of coffee.)
마리	animal	강아지 한 마리. (One puppy.)
대	machine	자동차 한 대. (One car.)
그릇	bowl	밥 한 그릇. (A bowl of rice.)
병	bottle	물 한 병. (A bottle of water.)
권	book	책 한 권. (One book.)
송이	bunch	꽃 한 송이. (One flower.)
봉지	bag	과자 한 봉지. (A bag of snacks.)
박스	box	사과 한 박스. (A box of apples.)
명	person	두 명. (Two people.)
사람	person	세 사람. (Three people.)
통	container	김치 한 통. (A container of kimchi.)
쌍	pair	신발 한 쌍. (A pair of shoes.)
켤레	pair (shoes, socks)	양말 한 켤레. (A pair of socks.)
