lesson 4	일상생활 2 (Daily Life – Part 2)
봄	spring	봄에는 꽃이 피어요. (Flowers bloom in spring.)
여름	summer	여름에는 날씨가 더워요. (The weather is hot in summer.)
가을	autumn	가을에는 단풍이 들어요. (Leaves change color in autumn.)
겨울	winter	겨울에는 눈이 와요. (It snows in winter.)
1월	January	1월에 새해가 시작돼요. (The new year starts in January.)
2월	February	2월은 짧은 달이에요. (February is a short month.)
3월	March	3월에 학교가 시작해요. (School starts in March.)
4월	April	4월에는 날씨가 따뜻해요. (The weather is warm in April.)
5월	May	5월에 꽃이 많아요. (There are many flowers in May.)
6월	June	6월에 여름이 시작돼요. (Summer starts in June.)
7월	July	7월에는 비가 많이 와요. (It rains a lot in July.)
8월	August	8월은 아주 더워요. (August is very hot.)
9월	September	9월에 학교에 가요. (I go to school in September.)
10월	October	10월에는 단풍이 예뻐요. (The autumn leaves are beautiful in October.)
11월	November	11월에 날씨가 쌀쌀해요. (The weather is chilly in November.)
12월	December	12월에 크리스마스가 있어요. (Christmas is in December.)
월요일	Monday	월요일에 학교에 가요. (I go to school on Monday.)
화요일	Tuesday	화요일에 수업이 있어요. (I have class on Tuesday.)
수요일	Wednesday	수요일에 친구를 만나요. (I meet a friend on Wednesday.)
목요일	Thursday	목요일에 운동해요. (I exercise on Thursday.)
금요일	Friday	금요일에 영화를 봐요. (I watch a movie on Friday.)
토요일	Saturday	토요일에 쉬어요. (I rest on Saturday.)
일요일	Sunday	일요일에 가족과 함께 있어요. (I am with my family on Sunday.)
아침	morning	아침에 밥을 먹어요. (I eat breakfast in the morning.)
점심	noon/lunch	점심에 친구와 밥을 먹어요. (I eat lunch with a friend.)
저녁	evening	저녁에 산책해요. (I take a walk in the evening.)
밤	night	밤에 자요. (I sleep at night.)
새벽	dawn	새벽에 일어나요. (I wake up at dawn.)
오전	a.m.	오전에 공부해요. (I study in the morning.)
오후	p.m.	오후에 운동해요. (I exercise in the afternoon.)
하루	one day	하루에 한 번 운동해요. (I exercise once a day.)
낮	daytime	낮에는 덥고 밤에는 추워요. (It's hot during the day and cold at night.)
수업이 있다	to have class	오늘 수업이 있어요. (I have class today.)
수업이 없다	to not have class	내일은 수업이 없어요. (There is no class tomorrow.)
수업이 시작되다	class starts	수업이 아침에 시작돼요. (Class starts in the morning.)
수업이 끝나다	class ends	수업이 오후에 끝나요. (Class ends in the afternoon.)
일어나다	to wake up	아침에 일어나요. (I wake up in the morning.)
자다	to sleep	밤에 자요. (I sleep at night.)
가다	to go	학교에 가요. (I go to school.)
오다	to come	친구가 집에 와요. (A friend comes home.)
출근하다	to go to work	아침에 출근해요. (I go to work in the morning.)
퇴근하다	to leave work	저녁에 퇴근해요. (I leave work in the evening.)
양치하다	to brush teeth	아침마다 양치해요. (I brush my teeth every morning.)
세수하다	to wash face	세수하고 학교에 가요. (I wash my face and go to school.)
목욕하다	to take a bath	저녁에 목욕해요. (I take a bath in the evening.)
요리하다	to cook	저녁을 요리해요. (I cook dinner.)
일하다	to work	회사에서 일해요. (I work at a company.)
샤워하다	to take a shower	운동 후에 샤워해요. (I take a shower after exercising.)
빨래하다	to do laundry	주말에 빨래해요. (I do laundry on weekends.)
손을 씻다	to wash hands	밥 먹기 전에 손을 씻어요. (I wash my hands before eating.)
