lesson 11	전화 (Phone Calls)
휴대폰	mobile phone	휴대폰으로 전화해요. (I call with my mobile phone.)
전화기	telephone	전화기로 통화해요. (I talk on the telephone.)
이메일	email	이메일을 보냈어요. (I sent an email.)
우표	stamp	우표를 붙였어요. (I put on a stamp.)
편지	letter	편지를 썼어요. (I wrote a letter.)
우체국	post office	우체국에 갔어요. (I went to the post office.)
집 전화	home phone	집 전화로 전화했어요. (I called with the home phone.)
공중전화	public phone	공중전화를 사용했어요. (I used a public phone.)
국내 전화	domestic call	국내 전화를 했어요. (I made a domestic call.)
국제 전화	international call	국제 전화를 했어요. (I made an international call.)
인터넷 전화	internet call	인터넷 전화를 사용해요. (I use internet calls.)
휴대폰 전화	mobile phone call	휴대폰 전화가 왔어요. (I received a mobile phone call.)
전화하다	to make a call	친구에게 전화해요. (I call my friend.)
전화를 걸다	to dial a call	전화를 걸었어요. (I dialed a call.)
전화를 받다	to receive a call	전화를 받았어요. (I received a call.)
전화를 바꾸다	to transfer a call	전화를 바꿨어요. (I transferred the call.)
전화를 끊다	to hang up	전화를 끊었어요. (I hung up the call.)
통화 중이다	the line is busy	통화 중이에요. (The line is busy.)
벨이 울리다	the phone rings	벨이 울렸어요. (The phone rang.)
잘못 걸다	to dial the wrong number	잘못 걸었어요. (I dialed the wrong number.)
문자 메시지	text message	문자 메시지를 받았어요. (I received a text message.)
문자를 보내다	to send a message	문자를 보냈어요. (I sent a message.)
문자를 받다	to receive a message	문자를 받았어요. (I received a message.)
충전하다	to charge (battery)	휴대폰을 충전해요. (I charge my mobile phone.)
배터리가 나가다	battery is dead	배터리가 나갔어요. (The battery is dead.)
문을 열어 주세요.	Please open the door.	문을 열어 주세요. (Please open the door.)
오후에 전화할 거예요.	I will call in the afternoon.	오후에 전화할 거예요. (I will call in the afternoon.)
이번에 토픽 시험 볼 거예요.	I will take the TOPIK exam this time.	이번에 토픽 시험 볼 거예요. (I will take the TOPIK exam this time.)
점심에 고기랑 냉면을 먹을 거예요.	I will eat meat and cold noodles at lunch.	점심에 고기랑 냉면을 먹을 거예요. (I will eat meat and cold noodles at lunch.)
회사 앞에서 기다릴게요.	I’ll wait in front of the company.	회사 앞에서 기다릴게요. (I’ll wait in front of the company.)
숙제 열심히 할게요.	I’ll do my homework diligently.	숙제 열심히 할게요. (I’ll do my homework diligently.)
