lesson 5	위치 (Location)
위	above	책이 책상 위에 있어요. (The book is on the desk.)
안	inside	고양이가 상자 안에 있어요. (The cat is inside the box.)
앞	in front	학교 앞에 버스 정류장이 있어요. (There is a bus stop in front of the school.)
뒤	behind	식당 뒤에 주차장이 있어요. (There is a parking lot behind the restaurant.)
옆	beside	은행 옆에 약국이 있어요. (There is a pharmacy beside the bank.)
오른쪽	right	오른쪽으로 가세요. (Go to the right.)
왼쪽	left	왼쪽에 문이 있어요. (There is a door on the left.)
맞은편	opposite	학교 맞은편에 서점이 있어요. (There is a bookstore opposite the school.)
이쪽	this side	이쪽으로 오세요. (Come this way.)
저쪽	that side	저쪽에 화장실이 있어요. (The restroom is that way.)
컴퓨터	computer	컴퓨터가 책상 위에 있어요. (The computer is on the desk.)
시계	clock	시계가 벽에 있어요. (The clock is on the wall.)
모자	hat	모자가 침대 위에 있어요. (The hat is on the bed.)
옷장	wardrobe	옷장이 방에 있어요. (The wardrobe is in the room.)
침대	bed	침대 위에 고양이가 있어요. (The cat is on the bed.)
우산	umbrella	우산이 문 옆에 있어요. (The umbrella is next to the door.)
창문	window	창문이 열려 있어요. (The window is open.)
책	book	책이 책상 위에 있어요. (The book is on the desk.)
교재	textbook	교재가 가방 안에 있어요. (The textbook is in the bag.)
칠판	board	칠판에 글씨를 써요. (I write on the board.)
장난감	toy	장난감이 바닥에 있어요. (The toy is on the floor.)
에어컨	air conditioner	에어컨이 벽에 있어요. (The air conditioner is on the wall.)
거울	mirror	거울이 화장실에 있어요. (The mirror is in the bathroom.)
가방	bag	가방이 의자 위에 있어요. (The bag is on the chair.)
사전	dictionary	사전이 책상 위에 있어요. (The dictionary is on the desk.)
상자	box	상자 안에 장난감이 있어요. (There are toys inside the box.)
문	door	문이 열려 있어요. (The door is open.)
필통	pencil case	필통이 가방 안에 있어요. (The pencil case is in the bag.)
책상	desk	책상이 방에 있어요. (The desk is in the room.)
문방구	stationery store	문방구에서 연필을 샀어요. (I bought a pencil at the stationery store.)
이발소	barbershop	이발소에서 머리를 잘랐어요. (I got a haircut at the barbershop.)
미용실	hair salon	미용실에 갔어요. (I went to the hair salon.)
서점	bookstore	서점에서 책을 샀어요. (I bought a book at the bookstore.)
버스정류장	bus stop	버스정류장에서 버스를 기다려요. (I wait for the bus at the bus stop.)
지하철역	subway station	지하철역에서 내렸어요. (I got off at the subway station.)
집	home	집에 있어요. (I am at home.)
병원	hospital	병원에 갔어요. (I went to the hospital.)
식당	restaurant	식당에서 밥을 먹었어요. (I ate at the restaurant.)
이름이 뭐예요?	What is your name?	이름이 뭐예요? (What is your name?)
영화가 재미있어요.	The movie is interesting.	영화가 재미있어요. (The movie is interesting.)
아이돌이 BTS예요.	My idol is BTS.	아이돌이 BTS예요. (My idol is BTS.)
책이 책상 위에 있어요.	The book is on the desk.	책이 책상 위에 있어요. (The book is on the desk.)
고양이가 침대 위에 없어요.	The cat is not on the bed.	고양이가 침대 위에 없어요. (The cat is not on the bed.)
식당이 병원 옆에 있어요.	The restaurant is next to the hospital.	식당이 병원 옆에 있어요. (The restaurant is next to the hospital.)
밖으로 나가요.	I go outside.	밖으로 나가요. (I go outside.)
안으로 들어가요.	I go inside.	안으로 들어가요. (I go inside.)
오른쪽으로 가요.	I go to the right.	오른쪽으로 가요. (I go to the right.)
길을 건너가요.	I cross the street.	길을 건너가요. (I cross the street.)
