lesson 12	취미 (Hobbies)
축구	soccer	축구를 해요. (I play soccer.)
야구	baseball	야구를 좋아해요. (I like baseball.)
농구	basketball	농구를 해요. (I play basketball.)
배구	volleyball	배구를 해요. (I play volleyball.)
수영	swimming	수영을 할 수 있어요. (I can swim.)
요가	yoga	요가를 해요. (I do yoga.)
골프	golf	골프를 쳐요. (I play golf.)
탁구	table tennis	탁구를 쳐요. (I play table tennis.)
테니스	tennis	테니스를 쳐요. (I play tennis.)
볼링	bowling	볼링을 쳐요. (I bowl.)
스키	skiing	겨울에 스키를 타요. (I ski in winter.)
스케이트	skating	스케이트를 타요. (I skate.)
요리하다	to cook	저는 요리하는 것을 좋아해요. (I like cooking.)
게임하다	to play games	게임하는 것을 좋아해요. (I like playing games.)
그림을 그리다	to draw	그림을 그리는 것을 좋아해요. (I like drawing.)
음악을 듣다	to listen to music	음악을 듣는 것을 좋아해요. (I like listening to music.)
사진을 찍다	to take photos	사진을 찍는 것을 좋아해요. (I like taking photos.)
영화를 보다	to watch movies	영화를 보는 것을 좋아해요. (I like watching movies.)
등산하다	to hike	등산하는 것을 좋아해요. (I like hiking.)
노래하다	to sing	노래하는 것을 좋아해요. (I like singing.)
여행하다	to travel	여행하는 것을 좋아해요. (I like traveling.)
우표를 모으다	to collect stamps	우표를 모으는 것이 취미예요. (Collecting stamps is my hobby.)
춤추다	to dance	춤추는 것을 좋아해요. (I like dancing.)
그림을 그리는 것	drawing pictures	그림을 그리는 것을 좋아해요. (I like drawing pictures.)
수영을 못 해요.	I can’t swim.	수영을 못 해요. (I can’t swim.)
농구보다 축구를 더 좋아해요.	I like soccer more than basketball.	농구보다 축구를 더 좋아해요. (I like soccer more than basketball.)
하루에 한 번 커피를 마셔요.	I drink coffee once a day.	하루에 한 번 커피를 마셔요. (I drink coffee once a day.)
일주일에 세 번 한국어를 공부해요.	I study Korean three times a week.	일주일에 세 번 한국어를 공부해요. (I study Korean three times a week.)
1년에 두 번 여행해요.	I travel twice a year.	1년에 두 번 여행해요. (I travel twice a year.)
