lesson 6	음식 (Food)
김치	kimchi	김치를 좋아해요. (I like kimchi.)
백김치	white kimchi	백김치를 먹어 봤어요. (I have tried white kimchi.)
파김치	green onion kimchi	파김치를 먹어 봤어요. (I have tried green onion kimchi.)
삼계탕	ginseng chicken soup	삼계탕을 먹었어요. (I ate ginseng chicken soup.)
김치찌개	kimchi stew	김치찌개가 맛있어요. (Kimchi stew is delicious.)
짜장면	black bean noodles	짜장면을 먹고 싶어요. (I want to eat black bean noodles.)
비빔밥	bibimbap	비빔밥을 먹어요. (I eat bibimbap.)
김밥	rice rolls	김밥을 만들어요. (I make kimbap.)
삼겹살	grilled pork belly	삼겹살을 구워요. (I grill pork belly.)
냉면	cold noodles	냉면을 먹어요. (I eat cold noodles.)
떡볶이	spicy rice cakes	떡볶이를 좋아해요. (I like spicy rice cakes.)
라면	instant noodles	라면을 끓여요. (I cook instant noodles.)
된장찌개	soybean paste stew	된장찌개를 먹어요. (I eat soybean paste stew.)
잡채	stir-fried glass noodles	잡채를 만들어요. (I make japchae.)
비빔국수	mixed noodles	비빔국수를 먹어요. (I eat mixed noodles.)
달다	sweet	이 사탕은 달아요. (This candy is sweet.)
시다	sour	레몬이 셔요. (The lemon is sour.)
맵다	spicy	이 음식이 매워요. (This food is spicy.)
짜다	salty	국이 짜요. (The soup is salty.)
쓰다	bitter	약이 써요. (The medicine is bitter.)
싱겁다	bland	음식이 싱거워요. (The food is bland.)
먹다	to eat	밥을 먹어요. (I eat rice.)
마시다	to drink	물을 마셔요. (I drink water.)
들다	to eat/drink (honorific)	할머니께서 식사를 드세요. (Grandmother eats a meal.)
식사하다	to have a meal	가족과 식사해요. (I have a meal with my family.)
맛보다	to taste	음식을 맛봐요. (I taste the food.)
보다	to try	새 음식을 봐요. (I try new food.)
맛있다	to be delicious	이 음식이 맛있어요. (This food is delicious.)
맛없다	to be not tasty	이 음식이 맛없어요. (This food is not tasty.)
식탁	dining table	식탁에 밥을 차려요. (I set the table.)
접시	plate	접시에 음식을 담아요. (I put food on the plate.)
그릇	bowl	밥을 그릇에 담아요. (I put rice in a bowl.)
젓가락	chopsticks	젓가락으로 먹어요. (I eat with chopsticks.)
숟가락	spoon	숟가락으로 밥을 먹어요. (I eat rice with a spoon.)
포크	fork	포크로 샐러드를 먹어요. (I eat salad with a fork.)
티슈	tissue	티슈로 입을 닦아요. (I wipe my mouth with a tissue.)
컵	cup	컵에 물을 따라요. (I pour water into a cup.)
잔	glass	맥주 한 잔 주세요. (Please give me a glass of beer.)
메뉴	menu	메뉴를 봐요. (I look at the menu.)
분	portion/person (honorific)	두 분이 오셨어요. (Two people came.)
뭐 먹을래요?	What would you like to eat?	뭐 먹을래요? (What would you like to eat?)
커피 마실래요?	Would you like to drink coffee?	커피 마실래요? (Would you like to drink coffee?)
비빔밥 먹을래요.	I want to eat bibimbap.	비빔밥 먹을래요. (I want to eat bibimbap.)
같이 밥 먹자.	Let’s eat together.	같이 밥 먹자. (Let's eat together.)
한국 음식을 먹으러 식당에 가요.	I go to the restaurant to eat Korean food.	한국 음식을 먹으러 식당에 가요. (I go to the restaurant to eat Korean food.)
사진을 찍으러 공원에 가요.	I go to the park to take pictures.	사진을 찍으러 공원에 가요. (I go to the park to take pictures.)
