lesson 13	가족 (Family)
할아버지	grandfather (paternal)	할아버지께서 산책하세요. (Grandfather takes a walk.)
할머니	grandmother (paternal)	할머니께서 요리하세요. (Grandmother cooks.)
외할아버지	grandfather (maternal)	외할아버지께서 집에 계세요. (Maternal grandfather is at home.)
외할머니	grandmother (maternal)	외할머니께서 텔레비전을 보세요. (Maternal grandmother watches TV.)
아버지	father	아버지가 회사에 가세요. (Father goes to work.)
어머니	mother	어머니가 시장에 가세요. (Mother goes to the market.)
누나	older sister (for male)	누나가 공부해요. (Older sister studies.)
언니	older sister (for female)	언니가 노래해요. (Older sister sings.)
형	older brother (for male)	형이 운동해요. (Older brother exercises.)
오빠	older brother (for female)	오빠가 운전해요. (Older brother drives.)
나	I / me	나는 학생이에요. (I am a student.)
저	I / me (formal)	저는 대학생이에요. (I am a university student.)
남동생	younger brother	남동생이 게임해요. (Younger brother plays games.)
여동생	younger sister	여동생이 책을 읽어요. (Younger sister reads a book.)
남편	husband	남편이 요리해요. (Husband cooks.)
아내	wife	아내가 일해요. (Wife works.)
아들	son	아들이 학교에 가요. (Son goes to school.)
딸	daughter	딸이 춤을 춰요. (Daughter dances.)
아버님	father (honorific)	아버님께서 주무세요. (Father is sleeping.)
할아버님	grandfather (honorific)	할아버님께서 말씀하셨어요. (Grandfather spoke.)
선생님께서	teacher (subject, honorific)	선생님께서 오셨어요. (The teacher came.)
성함	name (honorific)	성함이 어떻게 되세요? (What is your name?)
댁	house (honorific)	댁에 계세요. (He/She is at home.)
생신	birthday (honorific)	오늘은 아버님의 생신이에요. (Today is father's birthday.)
연세	age (honorific)	할머니의 연세가 많으세요. (Grandmother is old.)
분	person (honorific)	두 분이 오셨어요. (Two people came.)
드시다	to eat/drink (honorific)	할아버지께서 식사를 드세요. (Grandfather eats a meal.)
주무시다	to sleep (honorific)	아버님께서 주무세요. (Father is sleeping.)
계시다	to be (existence, honorific)	할머니께서 집에 계세요. (Grandmother is at home.)
안 계시다	to not be (honorific)	아버님께서 안 계세요. (Father is not here.)
드리다	to give (to elder)	어머님께 선물을 드렸어요. (I gave a gift to my mother.)
받으시다	to receive (from elder)	할아버님께서 선물을 받으셨어요. (Grandfather received a gift.)
돌아가시다	to pass away (honorific)	할아버님께서 돌아가셨어요. (Grandfather passed away.)
말씀하시다	to speak (honorific)	선생님께서 말씀하셨어요. (The teacher spoke.)
뵙다	to see (honorific)	선생님을 뵈었어요. (I met the teacher.)
수미의 오빠예요.	He is Sumi’s older brother.	수미의 오빠예요. (He is Sumi’s older brother.)
아버님께서 주무세요.	Father is sleeping.	아버님께서 주무세요. (Father is sleeping.)
선생님께서 말씀하셨어요.	The teacher spoke.	선생님께서 말씀하셨어요. (The teacher spoke.)
할아버님께서 돌아가셨어요.	Grandfather passed away.	할아버님께서 돌아가셨어요. (Grandfather passed away.)
어머님께 선물을 드렸어요.	I gave a gift to my mother.	어머님께 선물을 드렸어요. (I gave a gift to my mother.)
선생님을 뵈었어요.	I met the teacher.	선생님을 뵈었어요. (I met the teacher.)
