lesson 9	주말 활동 (Weekend Activities)
먼지를 털다	to dust	먼지를 털었어요. (I dusted.)
청소하다	to clean	주말에 집을 청소해요. (I clean the house on weekends.)
청소기	vacuum cleaner	청소기로 바닥을 청소해요. (I clean the floor with a vacuum cleaner.)
걸레질하다	to mop	걸레질을 했어요. (I mopped.)
세탁기	washing machine	세탁기로 빨래해요. (I do laundry with the washing machine.)
빨래하다	to do laundry	주말에 빨래해요. (I do laundry on weekends.)
빨래를 널다	to hang laundry	빨래를 널었어요. (I hung the laundry.)
빨래를 개다	to fold laundry	빨래를 개었어요. (I folded the laundry.)
다리미	iron	다리미로 옷을 다려요. (I iron clothes with an iron.)
옷을 다리다	to iron clothes	옷을 다렸어요. (I ironed clothes.)
텔레비전을 보다	to watch TV	저녁에 텔레비전을 봐요. (I watch TV in the evening.)
소풍 가다	to go on a picnic	주말에 소풍 가요. (I go on a picnic on the weekend.)
낚시하다	to go fishing	아버지와 낚시했어요. (I went fishing with my father.)
집에서 쉬다	to rest at home	주말에 집에서 쉬어요. (I rest at home on weekends.)
바닷가에 가다	to go to the beach	여름에 바닷가에 가요. (I go to the beach in summer.)
산책하다	to take a walk	공원에서 산책해요. (I take a walk in the park.)
걷다	to walk	아침에 걷기 운동해요. (I walk in the morning.)
친구를 만나다	to meet a friend	주말에 친구를 만나요. (I meet a friend on weekends.)
자다	to sleep	밤에 자요. (I sleep at night.)
산	mountain	산에 올라가요. (I climb the mountain.)
공원	park	공원에서 운동해요. (I exercise in the park.)
수영장	swimming pool	수영장에서 수영해요. (I swim at the swimming pool.)
민속촌	folk village	민속촌에 갔어요. (I went to the folk village.)
운동장	sports field	운동장에서 축구해요. (I play soccer at the sports field.)
박물관	museum	박물관을 구경해요. (I visit the museum.)
미술관	art gallery	미술관에 갔어요. (I went to the art gallery.)
해변	beach	해변에서 놀아요. (I play at the beach.)
산에 가려고 해요.	I plan to go to the mountain.	산에 가려고 해요. (I plan to go to the mountain.)
책을 읽으려고 해요.	I intend to read a book.	책을 읽으려고 해요. (I intend to read a book.)
청소하려고 해요.	I’m going to clean.	청소하려고 해요. (I’m going to clean.)
도서관에 가서 공부했어요.	I went to the library and studied.	도서관에 가서 공부했어요. (I went to the library and studied.)
시장에 가서 옷을 샀어요.	I went to the market and bought clothes.	시장에 가서 옷을 샀어요. (I went to the market and bought clothes.)
학교에 가서 친구를 만났어요.	I went to school and met a friend.	학교에 가서 친구를 만났어요. (I went to school and met a friend.)
만나 보세요.	Try meeting.	그 남자를 한번 만나 보세요. (Try meeting that man once.)
공부해 봤어요.	I tried studying.	중국어를 공부해 봤어요. (I tried studying Chinese.)
소개해 보세요.	Try introducing.	관광지를 소개해 보세요. (Try introducing a tourist spot.)
밥을 지어 봤어요.	I tried cooking rice.	밥을 지어 봤어요. (I tried cooking rice.)
강아지를 키워 보세요.	Try raising a puppy.	강아지를 키워 보세요. (Try raising a puppy.)
침대에 누워 보세요.	Try lying on the bed.	침대에 누워 보세요. (Try lying on the bed.)
