lesson 7	약속 (Promise)
월요일	Monday	월요일에 학교에 가요. (I go to school on Monday.)
화요일	Tuesday	화요일에 수업이 있어요. (I have class on Tuesday.)
수요일	Wednesday	수요일에 친구를 만나요. (I meet a friend on Wednesday.)
목요일	Thursday	목요일에 운동해요. (I exercise on Thursday.)
금요일	Friday	금요일에 영화를 봐요. (I watch a movie on Friday.)
토요일	Saturday	토요일에 쉬어요. (I rest on Saturday.)
일요일	Sunday	일요일에 가족과 함께 있어요. (I am with my family on Sunday.)
이번 주	this week	이번 주에 약속이 있어요. (I have an appointment this week.)
다음 주	next week	다음 주에 여행을 갈 거예요. (I will travel next week.)
지난 주	last week	지난 주에 친구를 만났어요. (I met a friend last week.)
평일	weekday	평일에는 학교에 가요. (I go to school on weekdays.)
주말	weekend	주말에 영화를 봐요. (I watch a movie on the weekend.)
약속	promise, appointment	약속이 있어요. (I have an appointment.)
약속이 있다	to have an appointment	오늘 약속이 있어요. (I have an appointment today.)
약속이 없다	to not have an appointment	내일은 약속이 없어요. (I have no appointment tomorrow.)
약속을 지키다	to keep a promise	약속을 꼭 지켜요. (I always keep my promises.)
약속을 안 지키다	to break a promise	약속을 안 지켰어요. (I broke a promise.)
약속하다	to promise	친구와 약속했어요. (I made a promise with a friend.)
약속을 취소하다	to cancel a promise	약속을 취소했어요. (I canceled the appointment.)
시간이 있다	to have time	지금 시간이 있어요. (I have time now.)
시간이 없다	to not have time	오늘 시간이 없어요. (I don't have time today.)
일이 있다	to have something to do	오늘 일이 있어요. (I have something to do today.)
일이 없다	to have nothing to do	내일은 일이 없어요. (I have nothing to do tomorrow.)
바쁘다	to be busy	요즘 바빠요. (I am busy these days.)
한가하다	to be free	주말에 한가해요. (I am free on weekends.)
시간이 많다	to have a lot of time	방학에는 시간이 많아요. (I have a lot of time during vacation.)
등산	hiking	등산을 좋아해요. (I like hiking.)
수영	swimming	수영을 할 수 있어요. (I can swim.)
연극	play, drama	연극을 봤어요. (I watched a play.)
음악회	concert	음악회에 갔어요. (I went to a concert.)
외식하다	to eat out	가족과 외식해요. (I eat out with my family.)
전화하다	to call	친구에게 전화해요. (I call my friend.)
전화를 받다	to answer the phone	전화를 받았어요. (I answered the phone.)
일기	diary	일기를 써요. (I write a diary.)
꼭	definitely	꼭 오세요. (Please come for sure.)
듣다	to listen	음악을 들어요. (I listen to music.)
보다	to see/watch	영화를 봐요. (I watch a movie.)
읽을 거예요	will read	책을 읽을 거예요. (I will read a book.)
마실 거예요	will drink	물을 마실 거예요. (I will drink water.)
만들 거예요	will make	저녁을 만들 거예요. (I will make dinner.)
같이 갈까요?	Shall we go together?	같이 갈까요? (Shall we go together?)
점심 먹을까요?	Shall we eat lunch?	점심 먹을까요? (Shall we eat lunch?)
오늘 갈까요, 내일 갈까요?	Should we go today or tomorrow?	오늘 갈까요, 내일 갈까요? (Should we go today or tomorrow?)
영화를 보고 싶어요.	I want to watch a movie.	영화를 보고 싶어요. (I want to watch a movie.)
동생이 선물을 받고 싶어해요.	My younger sibling wants to receive a gift.	동생이 선물을 받고 싶어해요. (My younger sibling wants to receive a gift.)
