lesson 2	일상생활 (Daily Life)
가다	to go	학교에 가요. (I go to school.)
오다	to come	친구가 집에 와요. (A friend comes home.)
사다	to buy	책을 사요. (I buy a book.)
살다	to live	서울에 살아요. (I live in Seoul.)
보다	to watch/see	영화를 봐요. (I watch a movie.)
듣다	to listen	음악을 들어요. (I listen to music.)
만나다	to meet	친구를 만나요. (I meet a friend.)
읽다	to read	책을 읽어요. (I read a book.)
만들다	to make	음식을 만들어요. (I make food.)
자다	to sleep	밤에 자요. (I sleep at night.)
먹다	to eat	밥을 먹어요. (I eat rice.)
놀다	to play	공원에서 놀아요. (I play in the park.)
말하다	to speak	한국어로 말해요. (I speak in Korean.)
공부하다	to study	한국어를 공부해요. (I study Korean.)
이야기하다	to talk	친구와 이야기해요. (I talk with a friend.)
일하다	to work	회사에서 일해요. (I work at a company.)
대화하다	to have a conversation	선생님과 대화해요. (I have a conversation with the teacher.)
전화하다	to call (phone)	엄마에게 전화해요. (I call my mom.)
질문하다	to ask a question	질문이 있어요. (I have a question.)
운동하다	to exercise	매일 운동해요. (I exercise every day.)
음악	music	음악을 들어요. (I listen to music.)
음식	food	맛있는 음식을 먹어요. (I eat delicious food.)
책	book	책을 읽어요. (I read a book.)
텔레비전	television	텔레비전을 봐요. (I watch television.)
차	tea	차를 마셔요. (I drink tea.)
커피	coffee	커피를 마셔요. (I drink coffee.)
밥	rice/meal	밥을 먹어요. (I eat rice.)
카메라	camera	카메라로 사진을 찍어요. (I take pictures with a camera.)
우산	umbrella	비가 와서 우산을 써요. (It's raining so I use an umbrella.)
시계	clock/watch	시계를 봐요. (I look at the clock.)
모자	hat	모자를 써요. (I wear a hat.)
노트	notebook	노트에 써요. (I write in a notebook.)
컴퓨터	computer	컴퓨터를 사용해요. (I use a computer.)
가방	bag	가방을 들어요. (I carry a bag.)
빵	bread	빵을 먹어요. (I eat bread.)
가족	family	가족과 함께 살아요. (I live with my family.)
친구	friend	친구와 놀아요. (I play with my friend.)
집	house/home	집에 있어요. (I am at home.)
커피숍	coffee shop	커피숍에서 만나요. (Let's meet at the coffee shop.)
도서관	library	도서관에서 공부해요. (I study at the library.)
극장	theater	극장에서 영화를 봐요. (I watch a movie at the theater.)
영화관	cinema	영화관에 가요. (I go to the cinema.)
슈퍼마켓	supermarket	슈퍼마켓에서 장을 봐요. (I shop at the supermarket.)
우체국	post office	우체국에 가요. (I go to the post office.)
병원	hospital	병원에 가요. (I go to the hospital.)
식당	restaurant	식당에서 밥을 먹어요. (I eat at a restaurant.)
회사	company	회사에 다녀요. (I go to the company.)
은행	bank	은행에 가요. (I go to the bank.)
약국	pharmacy	약국에서 약을 사요. (I buy medicine at the pharmacy.)
백화점	department store	백화점에서 쇼핑해요. (I shop at the department store.)
꽃가게	flower shop	꽃가게에서 꽃을 사요. (I buy flowers at the flower shop.)
학교	school	학교에 다녀요. (I go to school.)
박물관	museum	박물관을 구경해요. (I visit the museum.)
편의점	convenience store	편의점에서 음료를 사요. (I buy a drink at the convenience store.)
